id,count
0,93.12
1,221.98
2,79.06
4,32.65
5,67.33
10,124.62
11,190.01
12,326.3
15,34.72
17,126.27
18,302.73
23,235.37
25,95.89
26,39.28
31,204.43
39,174.87
40,26.78
41,189.38
42,375.53
43,161.24
51,249.33
52,90.35
54,17.05
60,134.93
61,148.22
62,114.92
63,28.63
65,120.33
66,110.72
68,152.29
71,75.51
80,30.8
82,73.74
94,129.89
98,273.75
101,30.46
102,132.73
107,108.09
112,239.05
113,71.34
115,66.76
116,123.19
120,160.12
121,87.87
122,339.86
132,198.83
143,97.69
147,70.33
150,19.56
151,86.06
152,231.89
153,91.95
155,165.34
156,85.06
159,195.6
161,136.47
163,45.54
177,173.15
186,14.25
188,18.67
190,90.37
191,80.72
192,267.6
195,319.7
200,141.24
209,318.31
210,15.5
211,226.25
214,141.73
215,26.59
218,100.45
219,31.46
222,126.66
225,15.56
228,319.03
236,220.15
241,36.07
242,181.54
243,222.13
245,19.05
247,249.38
251,132.33
252,83.54
253,84.58
254,93.89
258,324.65
260,63.05
261,174.19
265,115.63
266,282.68
267,298.18
269,158.37
270,73.33
275,101.41
278,37.68
279,79.42
286,94.17
287,29.92
288,228.07
289,139.84
293,19.01
294,144.32
297,45.2
302,121.19
303,67.1
304,68.11
307,100.07
309,17.44
311,172.53
312,123.71
314,180.66
315,232.75
319,160.84
322,123.76
323,74.05
325,139.93
327,246.97
330,35.91
332,182.61
333,16.24
338,100.88
341,104.67
345,193.51
348,129.74
349,45.14
350,120.14
352,65.33
355,15.09
356,225.85
358,68.63
363,130.26
369,157.46
371,19.72
372,152.3
375,306.2
380,131.79
388,44.06
391,138.56
392,261.58
393,385.61
394,201.6
396,28.19
401,36.07
407,106.93
409,85.08
410,110.74
416,102.62
418,127.76
420,152.98
421,225.24
422,126.54
424,292.79
428,340.91
429,214.03
431,181.59
435,11.48
439,117.4
441,11.4
447,97.29
449,152.84
451,157.54
452,15.93
454,211.43
458,223.78
463,133.75
467,14.79
470,242.17
471,160.99
474,290.07
478,15.57
483,117.94
484,146.49
485,83.19
486,131.37
491,103.28
494,103.72
495,244.25
497,202.32
499,183.82
515,114.6
518,227.76
521,167.08
525,166.39
529,240.01
532,138.53
534,107.98
540,114.48
544,292.53
547,168.68
549,44.42
563,34.89
564,154.24
567,120.58
572,106.82
577,141.49
578,272.42
585,352.28
588,159.58
589,121.28
590,107.76
592,16.74
594,229.53
596,14.47
598,345.24
599,147.49
605,35.94
606,125.61
607,258.47
608,231.57
609,73.15
610,288.4
611,175.28
614,130.01
615,227.37
616,254.05
617,125.55
618,240.28
624,114.96
629,142.58
631,91.63
633,92.48
637,23.37
638,104.98
643,76.78
644,140.26
645,37.5
646,215.07
648,192.36
650,37.53
651,202.51
652,272.44
656,113.61
657,18.83
659,74.55
660,208.02
662,100.81
665,380.42
675,320.15
681,161.97
682,191.03
685,19.19
686,214.88
689,24.64
696,142.92
703,141.65
704,101.57
705,138.58
714,237.75
717,99.02
718,14.64
720,81.71
721,252.42
723,235.78
726,186.7
728,151.3
730,211.26
731,27.54
734,347.5
737,72.17
738,18.22
745,173.2
746,28.1
749,229.13
752,25.26
753,166.92
758,241.04
765,16.53
766,222.97
768,86.87
769,176.98
774,133.18
775,107.53
781,66.57
784,334.09
794,18.81
795,279.98
796,85.64
802,161.04
803,227.81
805,37.65
806,284.93
807,100.79
809,16.24
810,161.33
812,187.12
814,113.99
818,251.41
819,138.46
825,69.83
836,111.39
839,118.27
847,265.56
848,169.83
851,129.37
852,135.42
853,29.57
857,141.42
858,41.78
859,225.77
861,23.66
867,103.43
870,218.91
871,203.34
872,223.02
874,364.79
881,190.16
886,138.06
890,68.06
895,165.73
899,87.34
900,277.74
901,250.77
902,237.23
903,40.64
913,255.32
918,206.12
923,127.05
924,38.3
926,25.79
927,19.25
930,221.31
934,36.44
937,137.15
939,145.08
941,90.24
942,386.83
946,279.04
950,100.13
953,87.18
959,104.39
961,26.23
962,92.15
964,81.46
969,191.57
971,152.26
976,42.32
978,257.71
980,247.01
981,152.69
990,381.4
993,19.37
996,20.73
998,331.36
999,175.42
1006,123.36
1008,15.38
1013,29.66
1015,101.42
1016,117.04
1022,306.81
1026,228.45
1028,235.66
1031,67.74
1034,64.23
1037,198.59
1040,69.0
1042,19.21
1046,18.9
1048,102.01
1049,109.41
1050,73.79
1051,224.16
1052,246.02
1055,188.46
1060,153.74
1064,29.19
1066,78.34
1071,100.56
1073,13.07
1089,213.67
1091,99.82
1092,77.27
1093,234.35
1096,319.05
1097,229.39
1098,17.63
1099,43.01
1102,195.28
1107,100.85
1109,42.15
1111,130.92
1112,115.44
1114,311.06
1116,294.45
1117,120.57
1118,78.27
1122,134.11
1124,160.76
1127,115.91
1133,207.0
1134,37.33
1135,155.26
1139,308.27
1143,64.9
1150,114.79
1151,112.86
1153,274.7
1155,27.79
1162,27.77
1163,207.19
1166,21.68
1171,85.45
1172,15.57
1173,254.59
1174,69.05
1177,126.09
1178,162.04
1184,179.53
1185,113.81
1186,111.68
1187,158.89
1188,289.27
1191,139.14
1207,119.51
1213,44.84
1215,128.18
1223,190.77
1227,121.94
1236,64.79
1237,67.27
1238,18.47
1241,30.16
1248,16.75
1250,35.73
1251,159.38
1253,112.65
1255,99.89
