PassengerId,Survived
892,0.09
893,0.11
894,0.5875
895,0.66
896,0.46
897,0.18600000000000003
898,0.08857142857142858
899,0.04
900,0.93
901,0.09
902,0.04076606240001137
903,0.07166666666666666
904,1.0
905,0.33
906,1.0
907,0.97
908,0.07369047619047618
909,0.62
910,0.71
911,0.11
912,0.22
913,0.67
914,1.0
915,0.4
916,0.98
917,0.0
918,1.0
919,0.56
920,0.785
921,0.19
922,0.0
923,0.1
924,0.74
925,0.27
926,0.6753712121212121
927,0.33
928,0.11
929,0.05
930,0.025
931,0.6402045454545454
932,0.04
933,0.5281428571428571
934,0.10083333333333332
935,1.0
936,1.0
937,0.0
938,0.3675
939,0.15681831485507952
940,0.98
941,0.6133333333333333
942,0.65
943,0.03
944,0.92
945,0.86
946,0.02
947,0.0
948,0.0
949,0.0125
950,0.03
951,1.0
952,0.025
953,0.4901666666666666
954,0.011818181818181818
955,0.96
956,0.65
957,0.94
958,0.74
959,0.02
960,0.06
961,0.99
962,0.61175
963,0.0
964,0.56
965,0.305
966,1.0
967,0.16
968,0.03
969,0.62
970,0.04
971,0.61175
972,0.98
973,0.27
974,0.26
975,0.04076606240001137
976,0.04
977,0.15
978,0.91
979,0.64
980,0.32179906204906217
981,0.98
982,0.26
983,0.25727056277056276
984,0.83
985,0.03
986,0.31
987,0.151
988,1.0
989,0.22357279605499422
990,0.72
991,0.15
992,1.0
993,0.02
994,0.15681831485507952
995,0.09633333333333333
996,0.76
997,0.06
998,0.2
999,0.15681831485507952
1000,0.16
1001,0.0
1002,0.09
1003,0.2758012265512266
1004,1.0
1005,0.93
1006,1.0
1007,0.08
1008,0.02
1009,0.93
1010,0.31
1011,0.98
1012,0.9875
1013,0.08033567821067822
1014,1.0
1015,0.03
1016,0.15681831485507952
1017,0.42
1018,0.18
1019,0.78
1020,0.4060238095238096
1021,0.0
1022,0.6765000000000001
1023,0.4
1024,0.04
1025,0.02
1026,0.1075
1027,0.0
1028,0.21
1029,0.02
1030,0.06
1031,0.07
1032,0.01
1033,0.87
1034,0.27
1035,0.01
1036,0.7591666666666665
1037,0.22
1038,0.01
1039,0.0
1040,0.5281428571428571
1041,0.05
1042,1.0
1043,0.04076606240001137
1044,0.11466666666666667
1045,0.6100000000000001
1046,0.06
1047,0.0375
1048,1.0
1049,0.71
1050,0.7591666666666665
1051,0.7018333333333334
1052,0.40479365079365076
1053,0.95
1054,0.8683333333333334
1055,0.08
1056,0.27069047619047615
1057,0.67
1058,0.42
1059,0.03
1060,0.98
1061,0.09
1062,0.01
1063,0.35
1064,0.09666666666666666
1065,0.05482539682539683
1066,0.07
1067,1.0
1068,1.0
1069,0.25
1070,0.98
1071,0.99
1072,0.04
1073,0.29
1074,1.0
1075,0.15681831485507952
1076,0.91
1077,0.018333333333333333
1078,0.9
1079,0.4653333333333333
1080,0.0
1081,0.03619047619047619
1082,0.07
1083,0.05
1084,0.73
1085,0.285
1086,0.74
1087,0.13
1088,0.89
1089,0.35
1090,0.015
1091,0.1
1092,0.8483333333333334
1093,0.99
1094,0.26
1095,0.94
1096,0.01
1097,0.025
1098,0.11713888888888889
1099,0.01
1100,0.98
1101,0.0
1102,0.3373333333333333
1103,0.01
1104,0.16
1105,0.47
1106,0.15
1107,0.1
1108,0.42
1109,0.4
1110,0.96
1111,0.03
1112,0.97
1113,0.0
1114,0.9189999999999999
1115,0.73
1116,0.95
1117,0.5543333333333333
1118,0.09
1119,0.32179906204906217
1120,0.02
1121,0.05135714285714286
1122,0.19
1123,1.0
1124,0.1425
1125,0.02430151515151515
1126,0.34
1127,0.03
1128,0.42
1129,0.68
1130,0.83
1131,1.0
1132,0.83
1133,0.93
1134,0.42
1135,0.04076606240001137
1136,0.1
1137,0.28
1138,0.8775
1139,0.044000000000000004
1140,0.98
1141,0.27
1142,0.62
1143,0.11
1144,0.49
1145,0.0
1146,0.2008333333333333
1147,0.01
1148,0.15681831485507952
1149,0.02
1150,0.8558333333333333
1151,0.17
1152,0.0
1153,0.02
1154,1.0
1155,0.95
1156,0.04
1157,0.04076606240001137
1158,0.0
1159,0.01
1160,0.11
1161,0.0
1162,0.21
1163,0.15681831485507952
1164,0.9
1165,0.86
1166,0.01
1167,0.95
1168,0.0
1169,0.003333333333333333
1170,0.0
1171,0.025
1172,0.05
1173,0.99
1174,0.32179906204906217
1175,0.3483333333333334
1176,0.75
1177,0.0
1178,0.01
1179,0.34
1180,0.05482539682539683
1181,0.03
1182,0.04
1183,0.27
1184,0.05482539682539683
1185,0.17
1186,0.0675
1187,0.0
1188,0.6
1189,0.19
1190,0.01
1191,0.05248464912280701
1192,0.1733333333333333
1193,0.03
1194,0.03966666666666667
1195,0.06
1196,0.32179906204906217
1197,0.85
1198,0.37
1199,0.98
1200,0.29
1201,0.05
1202,0.03
1203,0.56
1204,0.01
1205,0.08074999999999999
1206,0.99
1207,0.87
1208,0.5
1209,0.36316666666666675
1210,0.14
1211,0.01
1212,0.09633333333333333
1213,0.06825
1214,0.02
1215,0.9326666666666666
1216,1.0
1217,0.05
1218,1.0
1219,0.05
1220,0.04
1221,0.0
1222,0.98
1223,0.52
1224,0.01
1225,0.45
1226,0.11
1227,0.05
1228,0.48159523809523813
1229,0.04670634920634921
1230,0.21
1231,0.05482539682539683
1232,0.18666666666666668
1233,0.10666666666666666
1234,0.15295454545454545
1235,1.0
1236,0.54
1237,0.91
1238,0.02
1239,0.17
1240,0.01
1241,0.94
1242,0.99
1243,0.01
1244,0.03
1245,0.16
1246,0.81
1247,0.27
1248,0.99
1249,0.02430151515151515
1250,0.15681831485507952
1251,0.86
1252,0.12
1253,1.0
1254,0.94
1255,0.66
1256,0.94
1257,0.33
1258,0.15
1259,0.36
1260,0.99
1261,0.73
1262,0.05666666666666667
1263,1.0
1264,0.15
1265,0.3108333333333333
1266,1.0
1267,0.99
1268,0.14
1269,0.02333333333333333
1270,0.1
1271,0.2
1272,0.15681831485507952
1273,0.0
1274,0.4283333333333333
1275,0.28
1276,0.04
1277,0.99
1278,0.09916666666666667
1279,0.025
1280,0.11106493506493505
1281,0.17
1282,0.33
1283,0.92
1284,0.43
1285,0.07
1286,0.16
1287,1.0
1288,0.07
1289,1.0
1290,0.07833333333333334
1291,0.04
1292,0.99
1293,0.0
1294,1.0
1295,0.41
1296,0.12583333333333335
1297,0.17499999999999996
1298,0.02
1299,0.22
1300,0.40479365079365076
1301,0.8
1302,0.32179906204906217
1303,1.0
1304,0.6989996392496393
1305,0.03
1306,1.0
1307,0.0
1308,0.03
1309,0.14
