id,count
0,106.0
1,324.0
2,27.0
4,18.0
5,2.0
10,97.0
11,171.0
12,300.0
15,53.0
17,222.0
18,252.0
23,219.0
25,41.0
26,36.0
31,193.0
39,229.0
40,30.0
41,199.0
42,380.0
43,235.0
51,324.0
52,106.0
54,20.0
60,107.0
61,189.0
62,115.0
63,27.0
65,118.0
66,97.0
68,229.0
71,30.0
80,30.0
82,74.0
94,189.0
98,278.0
101,37.0
102,147.0
107,52.0
112,324.0
113,82.0
115,46.0
116,118.0
120,215.0
121,72.0
122,319.0
132,221.0
143,82.0
147,62.0
150,27.0
151,98.0
152,176.0
153,98.0
155,57.0
156,93.0
159,225.0
161,57.0
163,36.0
177,235.0
186,27.0
188,17.0
190,106.0
191,99.0
192,316.0
195,252.0
200,153.0
209,319.0
210,9.0
211,324.0
214,5.0
215,14.0
218,115.0
219,50.0
222,267.0
225,15.0
228,319.0
236,246.0
241,49.0
242,127.0
243,332.0
245,13.0
247,205.0
251,133.0
252,87.0
253,98.0
254,109.0
258,293.0
260,63.0
261,189.0
265,98.0
266,252.0
267,293.0
269,281.0
270,63.0
275,92.0
278,50.0
279,98.0
286,108.0
287,31.0
288,241.0
289,153.0
293,19.0
294,127.0
297,46.0
302,137.0
303,82.0
304,36.0
307,92.0
309,20.0
311,227.0
312,140.0
314,324.0
315,148.0
319,153.0
322,95.0
323,63.0
325,121.0
327,252.0
330,50.0
332,256.0
333,19.0
338,90.0
341,124.0
345,199.0
348,102.0
349,52.0
350,129.0
352,46.0
355,27.0
356,302.0
358,46.0
363,121.0
369,226.0
371,27.0
372,130.0
375,271.0
380,229.0
388,39.0
391,121.0
392,293.0
393,425.0
394,208.0
396,34.0
401,37.0
407,71.0
409,76.0
410,115.0
416,82.0
418,129.0
420,97.0
421,227.0
422,92.0
424,310.0
428,300.0
429,324.0
431,5.0
435,9.0
439,129.0
441,9.0
447,104.0
449,108.0
451,133.0
452,20.0
454,249.0
458,324.0
463,189.0
467,9.0
470,316.0
471,226.0
474,252.0
478,16.0
483,124.0
484,91.0
485,98.0
486,189.0
491,95.0
494,66.0
495,252.0
497,199.0
499,324.0
515,105.0
518,256.0
521,267.0
525,189.0
529,287.0
532,107.0
534,91.0
540,98.0
544,317.0
547,256.0
549,39.0
563,42.0
564,227.0
567,137.0
572,93.0
577,121.0
578,148.0
585,300.0
588,229.0
589,113.0
590,88.0
592,15.0
594,305.0
596,15.0
598,300.0
599,92.0
605,19.0
606,124.0
607,252.0
608,199.0
609,77.0
610,331.0
611,267.0
614,119.0
615,191.0
616,199.0
617,119.0
618,201.0
624,124.0
629,189.0
631,98.0
633,103.0
637,27.0
638,95.0
643,84.0
644,138.0
645,42.0
646,190.0
648,261.0
650,37.0
651,222.0
652,252.0
656,137.0
657,16.0
659,82.0
660,109.0
662,92.0
665,425.0
675,317.0
681,152.0
682,127.0
685,19.0
686,258.0
689,14.0
696,97.0
703,140.0
704,95.0
705,5.0
714,232.0
717,108.0
718,13.0
720,87.0
721,324.0
723,232.0
726,222.0
728,97.0
730,267.0
731,34.0
734,342.0
737,91.0
738,19.0
745,127.0
746,30.0
749,241.0
752,14.0
753,57.0
758,218.0
765,27.0
766,324.0
768,98.0
769,219.0
774,125.0
775,127.0
781,46.0
784,331.0
794,16.0
795,271.0
796,104.0
802,199.0
803,215.0
805,40.0
806,252.0
807,92.0
809,15.0
810,304.0
812,222.0
814,124.0
818,227.0
819,227.0
825,79.0
836,109.0
839,115.0
847,205.0
848,267.0
851,121.0
852,142.0
853,19.0
857,235.0
858,40.0
859,205.0
861,16.0
867,87.0
870,247.0
871,213.0
872,227.0
874,431.0
881,246.0
886,97.0
890,46.0
895,97.0
899,98.0
900,252.0
901,205.0
902,213.0
903,53.0
913,205.0
918,150.0
923,5.0
924,40.0
926,34.0
927,19.0
930,199.0
934,40.0
937,131.0
939,232.0
941,127.0
942,425.0
946,252.0
950,90.0
953,74.0
959,43.0
961,15.0
962,127.0
964,46.0
969,165.0
971,150.0
976,53.0
978,218.0
980,252.0
981,120.0
990,425.0
993,20.0
996,16.0
998,293.0
999,275.0
1006,108.0
1008,9.0
1013,18.0
1015,95.0
1016,113.0
1022,335.0
1026,199.0
1028,324.0
1031,82.0
1034,39.0
1037,213.0
1040,53.0
1042,16.0
1046,16.0
1048,92.0
1049,88.0
1050,49.0
1051,227.0
1052,193.0
1055,212.0
1060,167.0
1064,32.0
1066,82.0
1071,87.0
1073,27.0
1089,226.0
1091,93.0
1092,18.0
1093,218.0
1096,293.0
1097,233.0
1098,16.0
1099,40.0
1102,227.0
1107,127.0
1109,53.0
1111,191.0
1112,108.0
1114,271.0
1116,252.0
1117,113.0
1118,82.0
1122,125.0
1124,235.0
1127,137.0
1133,127.0
1134,42.0
1135,5.0
1139,252.0
1143,29.0
1150,135.0
1151,108.0
1153,252.0
1155,34.0
1162,32.0
1163,207.0
1166,27.0
1171,121.0
1172,13.0
1173,205.0
1174,127.0
1177,75.0
1178,199.0
1184,222.0
1185,94.0
1186,135.0
1187,237.0
1188,278.0
1191,153.0
1207,114.0
1213,39.0
1215,189.0
1223,324.0
1227,108.0
1236,29.0
1237,39.0
1238,19.0
1241,29.0
1248,19.0
1250,46.0
1251,189.0
1253,132.0
1255,83.0
1257,324.0
1261,132.0
1262,398.0
1265,120.0
1273,150.0
1277,252.0
1278,105.0
1280,135.0
1284,199.0
1285,331.0
1288,30.0
1295,111.0
1297,398.0
1299,244.0
1304,140.0
1308,42.0
1310,100.0
1311,105.0
1314,117.0
1315,92.0
1318,42.0
1320,317.0
1321,252.0
1322,201.0
1330,114.0
1333,145.0
1334,127.0
1341,229.0
1344,102.0
1351,127.0
1354,106.0
1356,30.0
1363,108.0
1365,199.0
1369,119.0
1373,137.0
1375,94.0
1377,100.0
1379,125.0
1380,252.0
1381,66.0
1384,257.0
1390,287.0
1393,218.0
1395,29.0
1399,277.0
1400,66.0
1401,169.0
1404,97.0
1408,16.0
1409,33.0
1413,199.0
1416,252.0
1418,90.0
1423,117.0
1424,20.0
1425,16.0
1433,248.0
1434,97.0
1436,366.0
1442,252.0
1444,94.0
1445,140.0
1452,302.0
1455,150.0
1462,49.0
1467,82.0
1472,20.0
1475,241.0
1493,93.0
1501,188.0
1503,310.0
1504,324.0
1505,16.0
1511,256.0
1512,39.0
1513,88.0
1514,30.0
1528,324.0
1533,324.0
1534,24.0
1536,140.0
1537,18.0
1539,316.0
1550,199.0
1552,198.0
1554,199.0
1555,402.0
1556,95.0
1559,33.0
1563,127.0
1566,121.0
1567,199.0
1568,15.0
1571,221.0
1572,21.0
1574,39.0
1577,17.0
1583,23.0
1585,46.0
1586,199.0
1587,143.0
1596,189.0
1602,53.0
1604,82.0
1605,33.0
1610,252.0
1611,66.0
1616,37.0
1617,95.0
1618,17.0
1622,33.0
1623,33.0
1628,252.0
1631,11.0
1632,235.0
1633,244.0
1634,293.0
1636,127.0
1637,114.0
1643,241.0
1644,100.0
1646,117.0
1648,198.0
1651,33.0
1656,24.0
1658,153.0
1659,22.0
1665,236.0
1666,153.0
1670,53.0
1674,5.0
1679,324.0
1680,324.0
1683,342.0
1686,27.0
1691,95.0
1693,33.0
1696,37.0
1697,95.0
1703,117.0
1706,20.0
1709,120.0
1710,94.0
1712,309.0
1713,119.0
1718,300.0
1719,246.0
1722,252.0
1723,229.0
1724,252.0
1728,82.0
1730,37.0
1732,19.0
1737,28.0
1745,100.0
1747,17.0
1748,16.0
1755,93.0
1759,16.0
1761,252.0
1764,274.0
1765,189.0
1766,100.0
1768,121.0
1770,34.0
1771,120.0
1774,103.0
1785,161.0
1788,324.0
1792,14.0
1794,205.0
1797,119.0
1798,2.0
1799,148.0
1802,100.0
1806,70.0
1808,117.0
1810,172.0
1818,236.0
1819,425.0
1820,271.0
1822,205.0
1826,127.0
1827,127.0
1835,22.0
1841,94.0
1842,161.0
1843,24.0
1846,51.0
1849,61.0
1850,318.0
1851,236.0
1857,39.0
1858,139.0
1860,83.0
1861,193.0
1864,135.0
1869,317.0
1871,49.0
1872,37.0
1875,13.0
1878,324.0
1879,205.0
1885,86.0
1888,115.0
1889,27.0
1890,100.0
1896,102.0
1897,104.0
1898,105.0
1900,106.0
1905,53.0
1908,135.0
1909,92.0
1913,49.0
1918,79.0
1922,317.0
1923,119.0
